id0,cbf_neg,cbfb_neg,cbfbs_neg,cbfbpv_neg,cbfscore_neg,cbfscrub_neg
81725,8,8,7,7,8,1
84688,45,44,27,34,55,4
84761,365,359,313,312,358,204
85369,129,124,99,108,120,24
87346,45,41,32,37,44,17
87563,20,19,13,15,18,3
87601,32,31,22,26,32,5
87646,3,3,1,3,3,0
88402,18,18,15,17,19,3
88770,0,0,0,0,0,0
89377,24,23,20,22,23,8
90077,5,5,5,5,7,3
91962,22,23,21,20,21,10
92193,4,4,4,4,5,0
92211,10,8,7,8,10,1
92927,40,36,21,31,42,7
93549,7,7,6,9,7,2
93856,8,6,6,6,11,0
95460,24,21,20,19,23,3
96659,6,6,4,5,5,1
97092,8,7,7,8,10,2
97271,1,1,1,1,1,0
97485,17,15,12,14,17,3
97994,0,0,0,0,0,0
98567,11,11,7,8,11,0
99604,0,0,0,0,0,0
99949,36,30,19,25,34,1
102041,19,18,17,24,19,3
104235,9,8,8,9,14,1
105176,27,25,23,23,27,3
105860,8,6,5,6,8,0
106039,10,9,8,12,9,2
106246,31,26,25,25,31,8
106331,38,36,31,32,47,7
106880,196,194,181,169,195,115
109521,8,6,5,7,8,2
109646,63,54,49,52,71,18
109735,0,0,0,0,0,0
112332,68,66,52,60,73,22
112694,26,21,20,21,26,2
114709,17,17,16,19,19,5
116354,4,3,3,3,4,0
117397,40,37,28,32,41,10
120562,44,43,31,41,52,7
121001,26,21,17,22,25,10
122522,25,21,18,17,27,7
122528,54,53,37,44,54,13
125511,9,8,8,9,12,1
126176,24,23,10,21,24,0
126554,19,18,16,18,21,4
127008,19,16,14,17,20,8
127417,13,13,10,12,13,4
127611,3,3,2,2,5,0
128154,6,4,2,4,6,2
129720,33,32,27,30,33,6
130687,6,6,5,6,6,4
131224,23,17,15,17,23,7
131867,56,56,49,43,57,37
132657,48,45,36,47,48,11
