103679,20120217x6458
104235,20101111x4102
104785,20101120x4156
105168,20100930x3881
105176,20110521x5077
105309,20130725x8243
105767,20100916x3817
105860,20121201x7503
105979,20110819x5588
106039,20101213x4266
106246,20110917x5720
106331,20101030x4045
106880,20110617x5237
108202,20101029x4040
109521,20110527x5120
109646,20130817x8354
109735,20121213x7546
110168,20110402x4767
110828,20110226x4573
112061,20110305x4614
112126,20110217x4533
112249,20110326x4735
112332,20110128x4438
112694,20110226x4576
114709,20110519x5056
114713,20111001x5800
114990,20120512x6848
116019,20121001x7298
116354,20130824x8412
117397,20110526x5109
118864,20110512x5010
118990,20120929x7292
119302,20130516x7999
119791,20110521x5079
120217,20130513x7996
120562,20110912x5693
121001,20110721x5410
121085,20110811x5537
121407,20110729x5462
121670,20110610x5186
122522,20110603x5154
122528,20111105x5987
122801,20121115x7465
122916,20120119x6311
125511,20110818x5572
125535,20121119x7484
125554,20110818x5571
126176,20111103x5980
126554,20110729x5464
126903,20110806x5511
127008,20120402x6680
127305,20120301x6526
127417,20110812x5546
127542,20111111x6026
127611,20111021x5908
128154,20111212x6172
129405,20120305x6554
129720,20120218x6465
129886,20111021x5910
129926,20111216x6189
130121,20111209x6151
130211,20111119x6070
130687,20111128x6083
131224,20130624x8167
131867,20111121x6075
132179,20120120x6323
132224,20120120x6324
132657,20120209x6414
133220,20120405x6694
139272,20130830x8456
81725,20120413x6726
81760,20100327x3085
82051,20100213x2856
82492,20100318x3036
82790,20100424x3211
83010,20110210x4498
83454,20111010x5853
83835,20120331x6671
83999,20100304x2954
84103,20111007x5842
84688,20130822x8398
84761,20130708x8209
84973,20100311x2993
85173,20100429x3226
85853,20120121x6334
86350,20130110x7624
86444,20120927x7284
86924,20100501x3232
87135,20110310x4634
87346,20130216x7753
87538,20121001x7297
87563,20110318x4679
87601,20120531x6917
87646,20120507x6826
87804,20100409x3144
87990,20100814x3676
88209,20130415x7910
88402,20100528x3346
88770,20100506x3245
88773,20100717x3543
89279,20120428x6798
89377,20110912x5692
90060,20110303x4592
90077,20100626x3465
90262,20100807x3646
90281,20110331x4754
91919,20100710x3497
91962,20120420x6749
92193,20100805x3643
92211,20100814x3683
92554,20101030x4043
92927,20120519x6872
93051,20101008x3918
93169,20101101x4053
93278,20100625x3456
93292,20110430x4945
93406,20110407x4795
93787,20100731x3615
93856,20101023x4009
94848,20100806x3638
95015,20100821x3709
95057,20101113x4119
95460,20101217x4278
96659,20110806x5512
97092,20110106x4331
97271,20111223x6221
97485,20110509x4996
97994,20100923x3846
98314,20100806x3637
98394,20120310x6578
98567,20100821x3710
98831,20110307x4624
98871,20120106x6246
99352,20110505x4967
99604,20120216x6454
99949,20130406x7887
